time(s) ang_vel_x ang_vel_y ang_vel_z lin_acc_x lin_acc_y lin_acc_z orientation_x orientation_y orientation_z sensor_range
1.766667 -0.182233 -0.000000 2.082925 1.643572 -2.715801 9.981224 0.015926 0.000000 -0.182031 1.995056
1.800000 -0.182233 -0.000000 2.082925 1.643572 -2.715801 9.981224 0.015926 0.000000 -0.182031 1.446081
1.833333 -0.137156 -0.000000 1.567686 1.121314 10.804710 9.935538 0.007369 0.000000 -0.084223 1.439987
1.866667 -0.137156 -0.000000 1.567686 1.121314 10.804710 9.935538 0.007369 0.000000 -0.084223 1.453270
1.900000 -0.137156 -0.000000 1.567686 1.121314 10.804710 9.935538 0.007369 0.000000 -0.084223 1.433538
1.933333 0.036050 0.000000 -0.412046 -0.809560 15.734595 9.766609 0.004536 0.000000 -0.051841 1.429063
1.966667 0.036050 0.000000 -0.412046 -0.809560 15.734595 9.766609 0.004536 0.000000 -0.051841 1.438397
2.000000 0.036050 0.000000 -0.412046 -0.809560 15.734595 9.766609 0.004536 0.000000 -0.051841 1.438397
2.033333 0.243790 0.000000 -2.786518 3.552060 14.526781 10.148206 0.011762 0.000000 -0.134439 1.984806
2.066667 0.243790 0.000000 -2.786518 3.552060 14.526781 10.148206 0.011762 0.000000 -0.134439 1.994760
2.100000 0.243790 0.000000 -2.786518 3.552060 14.526781 10.148206 0.011762 0.000000 -0.134439 1.992264
2.133333 0.372990 0.000000 -4.263263 13.556249 6.618407 11.023466 0.027277 0.000000 -0.311771 1.995947
2.166667 0.372990 0.000000 -4.263263 13.556249 6.618407 11.023466 0.027277 0.000000 -0.311771 1.990683
2.200000 0.372990 0.000000 -4.263263 13.556249 6.618407 11.023466 0.027277 0.000000 -0.311771 1.989189
2.233333 0.367126 -0.000000 -4.196240 10.839725 -4.842521 10.785795 0.044659 0.000000 -0.510447 1.986240
2.266667 0.367126 -0.000000 -4.196240 10.839725 -4.842521 10.785795 0.044659 0.000000 -0.510447 1.993895
2.300000 0.367126 -0.000000 -4.196240 10.839725 -4.842521 10.785795 0.044659 0.000000 -0.510447 2.003031
2.333333 0.222274 -0.000000 -2.540583 3.816075 -14.091490 10.171302 0.056950 0.000000 -0.650941 1.982633
2.366667 0.222274 -0.000000 -2.540583 3.816075 -14.091490 10.171302 0.056950 0.000000 -0.650941 1.984589
2.400000 0.222274 -0.000000 -2.540583 3.816075 -14.091490 10.171302 0.056950 0.000000 -0.650941 1.991287
2.433333 0.001669 -0.000000 -0.019081 -0.829842 -17.336096 9.764835 0.061090 0.000000 -0.698259 1.993499
2.466667 0.001669 -0.000000 -0.019081 -0.829842 -17.336096 9.764835 0.061090 0.000000 -0.698259 1.993499
2.500000 0.001669 -0.000000 -0.019081 -0.829842 -17.336096 9.764835 0.061090 0.000000 -0.698259 1.991445
2.533333 -0.212351 0.000000 2.427164 2.543257 -13.857746 10.059944 0.056971 0.000000 -0.651182 1.994716
2.566667 -0.212351 0.000000 2.427164 2.543257 -13.857746 10.059944 0.056971 0.000000 -0.651182 1.995235
2.600000 -0.212351 0.000000 2.427164 2.543257 -13.857746 10.059944 0.056971 0.000000 -0.651182 1.993379
2.633333 -0.335256 0.000000 3.831969 8.381743 -5.878017 10.570749 0.045534 0.000000 -0.520449 1.985369
2.666667 -0.335256 0.000000 3.831969 8.381743 -5.878017 10.570749 0.045534 0.000000 -0.520449 1.988665
2.700000 -0.335256 0.000000 3.831969 8.381743 -5.878017 10.570749 0.045534 0.000000 -0.520449 1.991377
2.733333 -0.336797 -0.000000 3.849581 9.960102 2.780612 10.708842 0.030018 0.000000 -0.343100 1.995244
2.766667 -0.336797 -0.000000 3.849581 9.960102 2.780612 10.708842 0.030018 0.000000 -0.343100 1.991630
2.800000 -0.336797 -0.000000 3.849581 9.960102 2.780612 10.708842 0.030018 0.000000 -0.343100 1.985919
2.833333 -0.235077 -0.000000 2.686926 4.130553 8.157085 10.198815 0.015724 0.000000 -0.179726 1.989996
2.866667 -0.235077 -0.000000 2.686926 4.130553 8.157085 10.198815 0.015724 0.000000 -0.179726 1.504669
2.900000 -0.235077 -0.000000 2.686926 4.130553 8.157085 10.198815 0.015724 0.000000 -0.179726 1.450428
2.933333 -0.098883 -0.000000 1.130227 0.106234 8.208380 9.846731 0.007529 0.000000 -0.086062 1.450428
2.966667 -0.098883 -0.000000 1.130227 0.106234 8.208380 9.846731 0.007529 0.000000 -0.086062 1.438707
3.000000 -0.098883 -0.000000 1.130227 0.106234 8.208380 9.846731 0.007529 0.000000 -0.086062 1.452887
3.033333 0.002259 -0.000000 -0.025819 -0.853525 3.635132 9.762761 0.005458 0.000000 -0.062382 1.438982
3.066667 0.002259 -0.000000 -0.025819 -0.853525 3.635132 9.762761 0.005458 0.000000 -0.062382 1.444945
3.100000 0.002259 -0.000000 -0.025819 -0.853525 3.635132 9.762761 0.005458 0.000000 -0.062382 1.449144
3.133333 0.020447 -0.000000 -0.233712 -0.812638 -3.004768 9.766337 0.006458 0.000000 -0.073818 1.448727
3.166667 0.020447 -0.000000 -0.233712 -0.812638 -3.004768 9.766337 0.006458 0.000000 -0.073818 1.438317
3.200000 0.020447 -0.000000 -0.233712 -0.812638 -3.004768 9.766337 0.006458 0.000000 -0.073818 1.443994
3.233333 -0.048933 0.000000 0.559300 -0.710214 -9.188761 9.775300 0.006087 0.000000 -0.069575 1.443579
